Id,SalePrice
1461,117185.75
1462,168119.0
1463,181190.14
1464,181375.61
1465,191644.16
1466,175898.08
1467,164031.86
1468,170319.3
1469,186495.62
1470,121471.71
1471,201003.45
1472,90522.63
1473,92994.96
1474,151910.62
1475,143420.36
1476,394369.75
1477,238971.56
1478,304860.8
1479,266503.1
1480,470353.9
1481,309940.22
1482,200623.33
1483,172510.42
1484,169038.23
1485,175992.48
1486,190755.1
1487,355444.7
1488,236412.16
1489,196676.64
1490,210566.02
1491,186710.56
1492,96520.44
1493,181318.44
1494,292277.7
1495,287471.9
1496,230520.61
1497,186746.77
1498,158292.1
1499,156975.03
1500,154252.72
1501,172425.3
1502,170705.62
1503,300813.5
1504,237381.73
1505,219885.3
1506,171269.53
1507,228502.14
1508,232299.23
1509,163471.84
1510,152645.27
1511,150516.92
1512,177716.31
1513,147619.77
1514,164019.61
1515,195768.86
1516,146614.84
1517,151924.2
1518,129827.35
1519,223298.22
1520,135347.72
1521,136988.31
1522,165581.11
1523,113000.445
1524,128369.27
1525,127467.41
1526,124432.54
1527,105874.67
1528,131895.02
1529,149963.25
1530,187515.86
1531,131305.3
1532,102328.22
1533,152024.28
1534,111500.36
1535,146486.16
1536,114171.555
1537,72834.02
1538,195382.3
1539,255669.36
1540,100474.14
1541,148744.78
1542,128829.9
1543,216918.16
1544,83160.9
1545,105222.484
1546,120685.24
1547,134152.3
1548,136610.97
1549,115782.55
1550,138687.45
1551,107641.4
1552,141593.52
1553,152554.83
1554,113606.555
1555,173495.4
1556,89530.875
1557,120922.266
1558,105212.22
1559,107156.19
1560,154086.6
1561,120942.37
1562,124015.94
1563,126321.21
1564,152986.52
1565,147339.08
1566,238075.98
1567,79990.88
1568,238495.19
1569,128931.664
1570,134094.58
1571,135379.11
1572,145053.77
1573,230447.73
1574,119994.8
1575,226345.55
1576,237221.27
1577,188119.72
1578,164024.38
1579,138097.23
1580,181875.52
1581,145384.06
1582,126773.516
1583,357716.97
1584,229508.16
1585,141370.69
1586,75550.375
1587,105720.31
1588,143613.48
1589,93939.38
1590,130651.836
1591,101542.78
1592,125522.46
1593,129407.2
1594,152622.44
1595,121853.05
1596,249408.66
1597,174548.05
1598,206190.22
1599,209456.44
1600,183249.34
1601,76375.46
1602,109727.74
1603,100975.58
1604,284336.9
1605,228232.72
1606,172204.48
1607,187163.97
1608,195623.05
1609,177071.34
1610,153271.75
1611,132010.27
1612,167051.3
1613,151094.12
1614,129744.45
1615,88748.02
1616,69631.5
1617,91710.83
1618,124317.41
1619,140520.7
1620,155237.08
1621,138286.2
1622,149175.16
1623,298520.06
1624,222225.02
1625,125184.59
1626,158845.5
1627,178609.67
1628,267868.2
1629,168563.22
1630,368752.4
1631,210927.16
1632,232569.5
1633,170723.31
1634,181195.17
1635,181892.33
1636,157259.62
1637,190942.16
1638,196988.98
1639,169637.8
1640,241625.81
1641,172773.47
1642,223142.36
1643,221749.62
1644,220688.48
1645,181747.4
1646,151291.48
1647,159904.9
1648,129142.86
1649,137487.3
1650,112283.4
1651,121646.016
1652,93828.164
1653,99064.46
1654,159169.0
